#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
      492000       9.742744e-03       6.503690e-04       5.388217e-03       1.251606e-01       9.075384e-03       3.417557e-02
      494000       1.332590e-02       5.170954e-04       7.297896e-03       1.430256e-01       9.453555e-03       3.625229e-02
      496000       1.125626e-02       4.577720e-04       5.832013e-03       1.408848e-01       9.012959e-03       3.455514e-02
      498000       1.234309e-02       5.183180e-04       6.562507e-03       1.493950e-01       9.049632e-03       3.676633e-02
      500000       1.133982e-02       1.180187e-03       6.469962e-03       2.017526e-01       7.752405e-03       4.150359e-02
      502000       7.481869e-03       7.652128e-04       4.205447e-03       2.445506e-01       6.817544e-03       3.796764e-02
      504000       9.527081e-03       1.012647e-03       4.728896e-03       1.321528e-01       7.343602e-03       3.485133e-02
      506000       7.644584e-03       3.772683e-04       3.756120e-03       2.326002e-01       7.193698e-03       3.970859e-02
      508000       8.579153e-03       7.139783e-04       4.831481e-03       1.455950e-01       6.124254e-03       3.388587e-02
      510000       8.324365e-03       9.468605e-04       4.054195e-03       2.155699e-01       8.089007e-03       3.549756e-02
      512000       4.576019e-03       9.194239e-04       2.651668e-03       1.774530e-01       6.899554e-03       3.961170e-02
      514000       5.864122e-03       1.027571e-03       3.333583e-03       1.442473e-01       8.327136e-03       3.585748e-02
      516000       8.146132e-03       9.520014e-04       4.433599e-03       1.557107e-01       5.428522e-03       3.594632e-02
      518000       7.388061e-03       8.413174e-04       4.302490e-03       1.993060e-01       7.859564e-03       3.655795e-02
      520000       5.618808e-03       7.121149e-04       3.301464e-03       1.420356e-01       5.681516e-03       3.496243e-02
      522000       7.906538e-03       9.638354e-04       4.521705e-03       1.707345e-01       9.100927e-03       3.350936e-02
      524000       6.876648e-03       6.815812e-04       3.793119e-03       1.971029e-01       7.645621e-03       3.989881e-02
